X_position,Y_position,type
-196,176,tumor
72,221,tumor
-24,-242,tumor
80,212,tumor
-170,173,tumor
235,68,tumor
4,238,tumor
180,167,tumor
5,-170,tumor
146,244,tumor
-178,127,tumor
-53,188,tumor
-222,-114,tumor
30,-148,tumor
188,207,tumor
-25,156,tumor
-189,188,tumor
-47,190,tumor
-120,-245,tumor
-180,172,tumor
-203,125,tumor
-182,-185,tumor
15,227,tumor
-218,-244,tumor
7,-186,tumor
1,90,tumor
-196,-155,tumor
-62,-213,tumor
-193,-203,tumor
-39,-254,tumor
-251,-227,tumor
-254,-240,tumor
-30,219,tumor
163,245,tumor
-63,179,tumor
67,-121,tumor
-35,194,tumor
71,-153,tumor
34,-143,tumor
-179,-165,tumor
65,-212,tumor
-15,164,tumor
186,-205,tumor
-166,133,tumor
90,-155,tumor
-40,90,tumor
-48,143,tumor
-22,65,tumor
0,210,tumor
-180,-121,tumor
28,33,tumor
143,180,tumor
45,-145,tumor
-22,142,tumor
87,-154,tumor
-62,119,tumor
-107,-214,tumor
-247,-253,tumor
6,177,tumor
176,228,tumor
-166,-88,tumor
-140,-46,tumor
-147,131,tumor
249,48,tumor
87,-149,tumor
-24,220,tumor
82,232,tumor
-161,161,tumor
-141,-86,tumor
-35,119,tumor
168,-238,tumor
-224,-229,tumor
-151,192,tumor
-213,-191,tumor
11,174,tumor
-187,169,tumor
-252,-243,tumor
-136,-50,tumor
-197,185,tumor
205,-230,tumor
17,130,tumor
-147,-237,tumor
-89,165,tumor
142,172,tumor
-163,-224,tumor
-70,161,tumor
-203,-255,tumor
-226,-254,tumor
106,-255,tumor
104,-200,tumor
-119,-253,tumor
165,247,tumor
41,218,tumor
84,-192,tumor
34,236,tumor
220,60,tumor
-191,-78,tumor
137,164,tumor
155,196,tumor
197,177,tumor
33,-156,tumor
-4,47,tumor
-27,158,tumor
-178,-197,tumor
-138,-198,tumor
-191,178,tumor
-10,138,tumor
-30,191,tumor
166,-234,tumor
-194,-118,tumor
21,223,tumor
212,-242,tumor
-30,133,tumor
77,-213,tumor
33,-174,tumor
-195,137,tumor
-58,-247,tumor
13,205,tumor
2,53,tumor
-40,232,tumor
-100,-235,tumor
28,-194,tumor
-80,124,tumor
17,253,tumor
-168,-223,tumor
-1,65,tumor
116,178,tumor
154,251,tumor
-196,134,tumor
141,159,tumor
19,52,tumor
31,-131,tumor
149,253,tumor
232,61,tumor
160,253,tumor
124,250,tumor
148,252,tumor
-41,235,tumor
68,-228,tumor
-145,-47,tumor
41,207,tumor
-164,-245,tumor
206,249,tumor
57,-202,tumor
-14,116,tumor
32,231,tumor
185,243,tumor
-47,172,tumor
162,242,tumor
-143,-209,tumor
21,-148,tumor
49,249,tumor
12,58,tumor
-41,229,tumor
-3,-141,tumor
-116,-228,tumor
-144,-80,tumor
150,191,tumor
167,175,tumor
-50,141,tumor
-18,126,tumor
-200,191,tumor
-10,142,tumor
-66,-210,tumor
-112,-211,tumor
-73,-245,tumor
170,223,tumor
-204,129,tumor
20,-163,tumor
-197,-248,tumor
50,-152,tumor
-58,144,tumor
204,-251,tumor
-116,-212,tumor
-35,-228,tumor
-167,-174,tumor
-142,163,tumor
-17,-243,tumor
-90,140,tumor
-122,169,tumor
123,217,tumor
-134,203,tumor
-16,161,tumor
61,245,tumor
49,-180,tumor
39,-251,tumor
-70,145,tumor
73,248,tumor
42,247,tumor
137,179,tumor
14,195,tumor
112,209,tumor
167,168,tumor
-82,-237,tumor
11,-193,tumor
-187,-131,tumor
-94,-232,tumor
-190,122,tumor
-159,-226,tumor
-23,-252,tumor
179,231,tumor
-23,184,tumor
30,238,tumor
-153,-208,tumor
-163,-35,tumor
1,-171,tumor
74,214,tumor
255,94,tumor
-246,-107,tumor
37,-255,tumor
-131,169,tumor
58,253,tumor
76,-156,tumor
-245,-81,tumor
154,177,tumor
53,32,tumor
0,73,tumor
38,-232,tumor
54,-230,tumor
224,57,tumor
40,-170,tumor
46,-137,tumor
214,214,tumor
215,-203,tumor
83,-202,tumor
29,169,tumor
-31,156,tumor
-25,73,tumor
33,187,tumor
-97,-229,tumor
102,-172,tumor
13,131,tumor
-18,173,tumor
15,191,tumor
-14,-245,tumor
-167,161,tumor
207,-219,tumor
-197,-138,tumor
235,56,tumor
4,-171,tumor
-40,148,tumor
-80,171,tumor
-84,166,tumor
-8,141,tumor
-210,-240,tumor
56,40,tumor
-109,-254,tumor
-87,-246,tumor
-133,177,tumor
-213,-208,tumor
-149,-104,tumor
197,187,tumor
32,-128,tumor
-6,248,tumor
-23,133,tumor
-3,-139,tumor
-207,116,tumor
-218,-194,tumor
41,-219,tumor
75,-175,tumor
80,229,tumor
18,173,tumor
54,-179,tumor
-208,142,tumor
167,173,tumor
17,49,tumor
-152,136,tumor
-59,110,tumor
222,57,tumor
46,-150,tumor
82,-202,tumor
-81,-247,tumor
-214,-85,tumor
-22,244,tumor
-32,108,tumor
-162,147,tumor
-178,-51,tumor
5,112,tumor
-78,126,tumor
-123,174,tumor
-206,-210,tumor
-59,-249,tumor
177,173,tumor
-156,-40,tumor
2,91,tumor
131,194,tumor
-243,-256,tumor
160,217,tumor
-37,-224,tumor
156,216,tumor
74,-153,tumor
-45,181,tumor
-181,-125,tumor
179,-229,tumor
207,-188,tumor
-35,188,tumor
120,246,tumor
-178,-48,tumor
-172,189,tumor
-160,-79,tumor
46,-198,tumor
13,-125,tumor
22,-125,tumor
16,124,tumor
-18,-155,tumor
7,-142,tumor
-39,253,tumor
-190,-166,tumor
-179,-94,tumor
61,-217,tumor
-163,-28,tumor
162,183,tumor
25,40,tumor
-56,-253,tumor
-9,-163,tumor
14,188,tumor
-155,187,tumor
-128,-106,tumor
-165,-72,tumor
241,80,tumor
128,239,tumor
-73,114,tumor
-189,-84,tumor
-140,-94,tumor
-72,-234,tumor
138,244,tumor
-155,-249,tumor
-43,164,tumor
39,22,tumor
-158,-89,tumor
-196,168,tumor
-59,124,tumor
152,230,tumor
-122,165,tumor
93,218,tumor
-61,-238,tumor
-192,190,tumor
-58,-253,tumor
2,253,tumor
-207,150,tumor
111,-210,tumor
152,212,tumor
-67,107,tumor
-185,-186,tumor
-184,89,tumor
-57,181,tumor
-222,-92,tumor
-175,-140,tumor
37,27,tumor
-8,-131,tumor
8,130,tumor
-139,-205,tumor
-172,-69,tumor
-163,-77,tumor
-182,144,tumor
9,132,tumor
-113,-237,tumor
194,205,tumor
97,189,tumor
-42,197,tumor
54,-142,tumor
200,-246,tumor
-14,148,tumor
-197,-220,tumor
-108,-215,tumor
-86,-241,tumor
30,-157,tumor
111,183,tumor
153,251,tumor
10,108,tumor
27,223,tumor
-63,117,tumor
53,215,tumor
132,191,tumor
98,225,tumor
39,210,tumor
69,225,tumor
80,-149,tumor
44,-170,tumor
159,186,tumor
-25,193,tumor
-229,-111,tumor
-24,197,tumor
85,-207,tumor
68,208,tumor
-2,-154,tumor
37,44,tumor
-190,114,tumor
-176,113,tumor
-172,155,tumor
207,-174,tumor
167,171,tumor
-97,-224,tumor
44,220,tumor
3,173,tumor
-182,-55,tumor
-54,165,tumor
-75,-255,tumor
-5,45,tumor
42,-237,tumor
166,245,tumor
36,186,tumor
-138,198,tumor
163,228,tumor
-66,113,tumor
-165,168,tumor
-105,-241,tumor
-66,-212,tumor
130,187,tumor
-190,-172,tumor
28,-144,tumor
-87,132,tumor
251,37,tumor
20,210,tumor
44,32,tumor
184,223,tumor
12,152,tumor
185,236,tumor
149,232,tumor
206,-217,tumor
228,52,tumor
-246,-89,tumor
69,-197,tumor
-150,-113,tumor
167,190,tumor
49,-194,tumor
3,241,tumor
140,179,tumor
-159,-183,tumor
-6,155,tumor
160,-251,tumor
27,37,tumor
132,230,tumor
10,65,tumor
80,-215,tumor
-118,-218,tumor
113,229,tumor
16,-166,tumor
-98,-210,tumor
181,212,tumor
49,-149,tumor
-196,-95,tumor
-42,155,tumor
34,-248,tumor
17,173,tumor
17,186,tumor
-35,-218,tumor
67,-182,tumor
-16,173,tumor
-225,-248,tumor
226,61,tumor
20,143,tumor
246,78,tumor
27,10,tumor
81,-131,tumor
62,219,tumor
218,224,tumor
-86,-236,tumor
-23,109,tumor
17,27,tumor
27,-158,tumor
-96,-233,tumor
-31,-244,tumor
202,228,tumor
-163,-175,tumor
-153,-201,tumor
-149,170,tumor
-59,157,tumor
-7,172,tumor
40,247,tumor
-176,-78,tumor
-115,-214,tumor
96,-150,tumor
208,-241,tumor
-42,176,tumor
-139,-209,tumor
-187,143,tumor
-140,158,tumor
-203,175,tumor
53,9,tumor
-139,-239,tumor
-142,-88,tumor
-255,-97,tumor
-12,-256,tumor
-1,176,tumor
-175,-65,tumor
183,253,tumor
218,40,tumor
60,-206,tumor
250,68,tumor
13,-168,tumor
4,166,tumor
131,203,tumor
200,253,tumor
86,191,tumor
-185,-205,tumor
122,207,tumor
-23,-235,tumor
72,240,tumor
-156,123,tumor
-84,-247,tumor
82,228,tumor
-1,54,tumor
-41,85,tumor
51,245,tumor
228,80,tumor
-172,-186,tumor
-62,-250,tumor
31,-136,tumor
-174,-168,tumor
44,248,tumor
172,-252,tumor
-246,251,cell_1
46,207,cell_1
50,-45,cell_1
236,93,cell_1
-209,-149,cell_1
-182,-190,cell_1
-17,42,cell_1
-67,-184,cell_1
-227,-175,cell_1
-50,-223,cell_1
-35,59,cell_1
-5,62,cell_1
-27,-12,cell_1
-51,21,cell_1
-216,-50,cell_1
-242,-97,cell_1
-229,-120,cell_1
-183,-237,cell_1
-147,-233,cell_1
-68,-198,cell_1
92,67,cell_1
-248,236,cell_1
-15,-211,cell_1
-84,-207,cell_1
107,86,cell_1
-30,-183,cell_1
-4,241,cell_1
2,-237,cell_1
109,50,cell_1
-82,69,cell_1
-37,33,cell_1
-238,-59,cell_1
-237,-61,cell_1
243,110,cell_1
-101,-218,cell_1
99,-243,cell_1
-181,-225,cell_1
-224,-175,cell_1
249,250,cell_1
-114,-248,cell_1
98,238,cell_1
-213,-48,cell_1
248,76,cell_1
19,246,cell_1
-187,-239,cell_1
-174,-192,cell_1
-209,-88,cell_1
-147,-230,cell_1
56,229,cell_1
-65,213,cell_1
-254,-68,cell_1
-38,-24,cell_1
91,202,cell_1
-76,-203,cell_1
-124,-220,cell_1
-26,-233,cell_1
-238,199,cell_1
120,203,cell_1
47,212,cell_1
-173,-204,cell_1
128,222,cell_1
70,249,cell_1
49,-51,cell_1
-147,-228,cell_1
-135,-213,cell_1
-34,3,cell_1
-2,-193,cell_1
-238,-74,cell_1
-157,-235,cell_1
-54,-203,cell_1
-5,-231,cell_1
-227,-150,cell_1
98,68,cell_1
57,-252,cell_1
-229,214,cell_1
-203,-131,cell_1
-35,26,cell_1
-210,-106,cell_1
-132,-236,cell_1
-2,205,cell_1
-114,-223,cell_1
-83,-216,cell_1
-16,-8,cell_1
65,245,cell_1
-29,57,cell_1
-230,-53,cell_1
12,-23,cell_1
-39,219,cell_1
40,234,cell_1
-220,-84,cell_1
-44,-246,cell_1
-18,215,cell_1
78,200,cell_1
-103,-256,cell_1
96,193,cell_1
-62,-186,cell_1
75,-236,cell_1
-250,-100,cell_1
27,246,cell_1
-213,-127,cell_1
-67,14,cell_1
-28,12,cell_1
-16,37,cell_1
31,-90,cell_1
108,227,cell_1
-70,-203,cell_1
-175,-242,cell_1
-224,-128,cell_1
62,-54,cell_1
13,7,cell_1
3,-17,cell_1
-15,78,cell_1
-236,-82,cell_1
-16,47,cell_1
-68,-190,cell_1
60,-77,cell_1
-19,-172,cell_1
-61,-200,cell_1
-63,70,cell_1
-207,-106,cell_1
-27,208,cell_1
-44,-231,cell_1
-206,-223,cell_1
-13,211,cell_1
-249,-103,cell_1
-73,-208,cell_1
199,-20,cell_1
-85,-241,cell_1
